name,pop,lat,lon
Ahemdabad,1,23.0225,72.5714
Bangalore,18,12.9716,77.5946
Belgaum,4,15.8497,74.4977
Bhopal,16,23.2599,77.4126
Bhubaneshwar,5,20.2961,85.8245
Bijapur,3,16.8244,75.7154
Calicut,5,11.2588,75.7804
Chandigarh,3,30.7333,76.7794
Chennai,27,13.0827,80.2707
Delhi,48,28.7041,77.1025
Durgapur,11,23.5505,87.2894
Gandhinagar,5,23.2156,72.6369
Guwahati,21,26.1445,91.7362
Huballi,4,15.3647,75.1239
Hyderabad,16,17.385,78.4867
Indore,12,22.7196,75.8577
Jaipur,5,26.9124,75.7873
Kanpur,19,26.4499,80.3319
Kharagpur,18,22.346,87.2312
Kolkata,6,22.562627,88.363044
Kurukshetra,1,29.969,76.8783
London,1,51.5074,-0.1278
Mandi,2,31.7055,76.9326
Mangalore,62,12.9141,74.856
Manipal,5,13.3492,74.7889
Mumbai,42,19.076,72.8777
Mysore,1,12.2958,76.6394
Nagpur,8,21.1458,79.0882
Nanded,1,19.1383,77.3208
Narhan,1,26.9457,82.9196
Noida,2,28.5355,77.391
Patna,4,25.5941,85.1376
Phagwara,5,31.2244,75.7732
Pilani,13,28.3689,75.6051
Prayagraj (Allahabad),7,25.4358,81.8463
Pune,15,18.5204,73.8567
Roorkee,6,29.8543,77.888
Ropar (Rupnagar),8,30.9744,76.5265
Rourkela,4,22.2563,84.8141
Sancoale (Vasco da Gama) Goa Airport (Dabolim),9,15.3825,73.8424
Shibpur (Howrah),2,22.5762,88.3186
Silchar,2,24.8333,92.7667
Sindri,1,23.7833,86.4333
Surat,1,21.1702,72.8311
Tiruchirappalli,21,10.7905,78.7047
Vadodara,1,22.3072,73.1812
Varanasi (Benares),8,25.3176,82.9739
Vellore,11,12.9204,79.15
Warangal,9,18,79.35
