Timestamp,Which college are you from?,City,Public/Private,CAPS,KEY,Education,  Is anyone from your family into Entrepreneurship?  ,Which year of college are you in currently? ,It’s easy to find the right mentor in college for my startup. ,My college and college clubs develop my entrepreneurial skills and abilities ,My institution has introduced courses in order to keep us in touch with growing wave of entrepreneurship in the country ,My family would support me if I shift my focus to unconventional or entrepreneurial activities ,If I decide to be an entrepreneur family support will be an important factor for me ,I’ll readily get mental and executional support from my peers for my venture ,It is easy for me to get funding for my startup from alumni or outside ,My country has created an ecosystem that enables young entrepreneurs to pursue their passion ,My college is located in a city which is active in entrepreneurship ,How likely are you to take up entrepreneurship as a career? ,,,,
3-13-2023 15:44:10,Jamia Milia Islamia,Delhi,Public,JAMIA MILIA ISLAMIA,1,"Engineering, Architecture, Arts, Commerce, Education, Law, Management, Science, Social Science and Humanities",Mother,Second,1,1,1,1,5,3,1,2,5,2,,,,
3-13-2023 15:43:09,Jamia Milia Islamia ,Delhi,Public,JAMIA MILIA ISLAMIA ,1,"Engineering, Architecture, Arts, Commerce, Education, Law, Management, Science, Social Science and Humanities",No One,Third,1,1,1,1,1,3,1,2,4,1,,,,
3-13-2023 16:05:43,Hindu college ,Delhi,Public,HINDU COLLEGE ,2,"Arts, Commerce and Science",No One,Second,3,4,2,1,5,3,4,2,5,1,,,,
3-13-2023 16:06:36,Hindu College ,Delhi,Public,HINDU COLLEGE ,2,"Arts, Commerce and Science",Father,Fourth,3,4,2,5,5,5,5,3,5,5,,,,
3-13-2023 16:13:38,Anna University ,Chennai,Public,ANNA UNIVERSITY ,3,"Engineering, Architecture and Applied Sciences",No One,First,2,2,1,3,5,1,4,3,2,1,,,,
3-13-2023 16:15:02,Anna University ,Chennai,Public,ANNA UNIVERSITY ,3,"Engineering, Architecture and Applied Sciences",Sibling,Third,2,3,2,5,5,5,5,3,1,3,,,,
3-2-2023 7:05:17,BITS,Pilani,Private,BITS,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Second,4,4,3,4,4,4,4,4,3,3,,,,
3-2-2023 7:04:01,Bits ,Pilani,Private,BITS ,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Sibling,Second,5,4,4,5,5,5,5,5,4,5,,,,
3-13-2023 17:33:08,BITS ,Pilani,Private,BITS ,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,5,5,4,4,5,4,4,4,2,5,,,,
2-25-2023 11:17:38,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,5,5,5,1,4,4,5,3,1,3,,,,
2-25-2023 11:20:45,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Third,5,4,3,5,5,4,5,4,1,3,,,,
2-25-2023 11:48:27,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Fourth,5,5,5,5,5,5,5,5,1,4,,,,
3-3-2023 19:11:14,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Second,5,5,5,4,3,4,4,4,4,4,,,,
3-3-2023 19:12:05,BITS Pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,4,4,5,3,4,4,4,4,3,4,,,,
3-5-2023 15:50:05,BITS pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,4,4,4,4,5,5,4,4,2,5,,,,
3-13-2023 15:17:33,Bits pilani,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,First,4,4,3,4,4,3,4,5,1,4,,,,
3-13-2023 19:36:55,BITS PILANI,Pilani,Private,BITS PILANI,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,4,4,3,5,5,5,4,4,2,5,,,,
3-13-2023 15:35:38,bits pilani ,Pilani,Private,BITS PILANI ,4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,2,2,2,2,5,3,1,2,1,1,,,,
3-13-2023 15:44:15,"BITS, Pilani",Pilani,Private,"BITS, PILANI",4,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Second,5,5,5,5,5,5,5,5,5,5,,,,
2-25-2023 11:23:49,BITS Goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Grandparents,Fifth,4,4,3,5,5,3,4,3,2,4,,,,
3-3-2023 16:53:05,Bits Goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Second,1,3,3,4,4,3,2,4,3,3,,,,
3-6-2023 14:38:30,BITS goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,First,4,4,3,2,3,3,3,5,1,3,,,,
3-13-2023 15:18:09,BITS Goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,4,4,3,4,1,4,4,3,2,3,,,,
3-13-2023 17:46:45,bits Goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,3,4,3,4,4,4,3,4,2,4,,,,
3-13-2023 19:35:52,BITS goa,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,3,4,2,3,3,4,3,3,3,4,,,,
3-13-2023 20:08:53,BITS GOA,Sancoale,Private,BITS GOA,5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Sibling,Third,3,4,2,4,4,4,3,4,2,4,,,,
3-13-2023 15:45:04,"BITS, Goa",Sancoale,Private,"BITS, GOA",5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Mother,First,5,5,5,5,5,5,5,5,5,5,,,,
3-13-2023 15:46:06,"BITS, Goa",Sancoale,Private,"BITS, GOA",5,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Sibling,Third,4,5,4,5,4,5,4,4,4,5,,,,
2-25-2023 11:22:03,BITS Hyderabad,Hyderabad,Private,BITS HYDERABAD,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,3,3,2,4,2,3,3,5,5,2,,,,
3-3-2023 16:43:33,Bits Hyderabad,Hyderabad,Private,BITS HYDERABAD,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Fourth,3,3,3,4,4,4,3,4,5,3,,,,
3-6-2023 14:26:18,BITS Hyderabad ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,4,3,3,2,4,4,3,3,4,5,,,,
3-6-2023 16:40:21,BITS HYDERABAD ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,3,3,3,4,4,5,3,4,4,3,,,,
3-13-2023 15:18:45,bits Hyderabad ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",Father,Fourth,2,2,2,3,5,3,3,1,1,2,,,,
3-13-2023 15:56:39,bits Hyderabad ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Third,3,3,2,4,4,4,3,4,2,3,,,,
3-13-2023 19:35:11,BITS HYDERABAD ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,First,3,3,2,3,4,4,3,3,4,4,,,,
3-13-2023 20:08:08,BITS HYDERABAD ,Hyderabad,Private,BITS HYDERABAD ,6,"Engineering, Science, Technology, Management, Humanities and Social Sciences.",No One,Fourth,3,3,2,4,5,4,3,4,4,4,,,,
3-2-2023 7:07:52,COEP,Pune,Public,COEP,7,Engineering ,No One,Second,3,3,3,5,4,4,3,4,5,4,,,,
3-3-2023 16:31:08,Coep,Pune,Public,COEP,7,Engineering ,No One,Second,3,3,3,5,5,3,3,4,4,4,,,,
3-10-2023 11:51:02,COEP,Pune,Public,COEP,7,Engineering ,No One,Second,3,3,3,4,4,2,2,3,5,2,,,,
3-10-2023 11:51:47,COEP,Pune,Public,COEP,7,Engineering ,No One,Second,2,3,3,4,3,4,4,4,4,4,,,,
3-13-2023 17:18:19,COEP,Pune,Public,COEP,7,Engineering ,Father,Second,3,3,3,3,4,4,2,4,4,4,,,,
3-13-2023 19:33:51,COEP,Pune,Public,COEP,7,Engineering ,No One,Fourth,5,5,5,5,5,5,5,5,5,5,,,,
2-27-2023 13:40:26,Hansraj college ,Delhi,Public,HANSRAJ COLLEGE ,8,"Arts, Commerce and Science",No One,Second,2,1,1,2,2,2,1,3,3,4,,,,
3-13-2023 15:59:20,Hansraj College ,Delhi,Public,HANSRAJ COLLEGE ,8,"Arts, Commerce and Science",No One,Second,4,3,3,3,5,4,5,2,5,4,,,,
3-13-2023 15:59:55,Hansraj College ,Delhi,Public,HANSRAJ COLLEGE ,8,"Arts, Commerce and Science",Father,Third,2,4,2,5,5,3,4,2,5,5,,,,
2-27-2023 17:38:13,IISc,Bangalore,Public,IISC,9,"Science, Engineering, Design and Management",No One,Third,3,2,1,2,4,3,1,4,5,2,,,,
2-27-2023 17:46:12,IISC,Bangalore,Public,IISC,9,"Science, Engineering, Design and Management",No One,Second,4,3,2,4,5,3,3,4,5,3,,,,
3-3-2023 16:16:05,IISc,Bangalore,Public,IISC,9,"Science, Engineering, Design and Management",No One,Third,3,2,2,3,5,3,3,4,5,2,,,,
2-8-2023 17:32:18,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,1,1,1,5,3,1,1,1,4,5,,,,
2-9-2023 22:03:37,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Third,2,4,5,3,4,4,3,4,5,4,,,,
2-9-2023 23:14:51,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",Father,Fifth,4,4,3,5,5,4,5,4,5,4,,,,
2-26-2023 14:53:39,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,4,3,1,4,5,5,4,4,5,4,,,,
2-26-2023 14:54:39,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,4,4,2,4,5,5,5,5,5,3,,,,
3-3-2023 16:26:55,Iit bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",Sibling,First,5,4,4,4,4,3,3,3,3,3,,,,
3-3-2023 19:12:52,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,4,5,5,3,4,5,4,3,5,5,,,,
3-6-2023 23:36:55,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",Father,Fourth,4,5,5,3,4,4,4,5,5,2,,,,
3-10-2023 13:10:20,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,4,5,5,3,4,5,5,4,5,4,,,,
3-13-2023 19:34:14,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",No One,Second,5,5,5,5,5,5,4,4,5,5,,,,
3-13-2023 19:34:39,IIT Bombay,Mumbai,Public,IIT BOMBAY,10,"Engineering, Science, Management, Design and Humanities",Father,Second,5,5,5,5,5,5,5,5,5,5,,,,
2-8-2023 17:30:36,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Second,4,5,5,5,5,4,3,3,5,4,,,,
2-9-2023 11:22:26,IIT BOMBAY ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",Father,First,4,5,5,5,5,3,4,4,5,4,,,,
2-9-2023 14:04:16,Iit bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Second,3,4,5,3,3,2,3,4,5,5,,,,
2-9-2023 21:35:21,IIT BOMBAY ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,First,1,3,5,5,5,2,4,4,5,5,,,,
2-12-2023 12:56:00,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",Sibling,Second,3,2,4,1,5,3,4,2,4,4,,,,
2-28-2023 13:15:47,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Third,4,4,3,2,4,4,5,4,4,4,,,,
3-6-2023 23:36:11,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Fourth,5,5,5,4,4,5,4,4,5,4,,,,
3-10-2023 13:10:52,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",Father,First,5,5,5,4,5,5,5,4,5,5,,,,
3-10-2023 13:11:20,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",Grandparents,Third,4,5,5,2,3,4,4,4,5,4,,,,
3-10-2023 13:11:52,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Third,4,4,4,3,3,4,4,4,5,3,,,,
3-10-2023 13:12:14,IIT Bombay ,Mumbai,Public,IIT BOMBAY ,10,"Engineering, Science, Management, Design and Humanities",No One,Fourth,4,5,5,5,5,5,5,5,5,5,,,,
2-25-2023 11:16:46,IITB,Mumbai,Public,IITB,10,"Engineering, Science, Management, Design and Humanities",Father,First,5,4,2,2,3,5,5,3,5,5,,,,
2-25-2023 11:47:51,IITB,Mumbai,Public,IITB,10,"Engineering, Science, Management, Design and Humanities",Mother,First,5,4,3,5,5,5,5,4,5,5,,,,
2-25-2023 12:24:20,IITB,Mumbai,Public,IITB,10,"Engineering, Science, Management, Design and Humanities",No One,Third,5,4,4,3,4,4,5,4,4,4,,,,
